t,t_abs,bx,by,moving
54.832,1788739681.217,5.083,6.505,0
55.032,1788739681.417,5.083,6.505,0
55.232,1788739681.617,5.083,6.505,0
55.433,1788739681.819,5.083,6.505,0
55.632,1788739682.017,5.083,6.505,0
55.832,1788739682.217,5.083,6.505,0
56.032,1788739682.417,5.083,6.505,0
56.232,1788739682.617,5.083,6.505,0
56.432,1788739682.817,5.083,6.505,0
56.632,1788739683.017,5.083,6.505,0
56.832,1788739683.217,5.083,6.505,0
57.032,1788739683.417,5.083,6.505,0
57.232,1788739683.617,5.083,6.505,0
57.432,1788739683.817,5.083,6.505,0
57.632,1788739684.017,5.083,6.505,0
57.832,1788739684.217,5.083,6.505,0
58.032,1788739684.417,5.083,6.505,0
58.232,1788739684.617,5.083,6.505,0
58.432,1788739684.817,5.083,6.505,0
58.632,1788739685.017,5.083,6.505,0
58.832,1788739685.217,5.083,6.505,0
