vx,wabs,obstacle,align,follow,angle,fwd,twirl
0.0229852,0.217858,0,23.9367,14.5726,0.0251093,0,0.130715
0.0132038,0.192615,0,23.9184,14.7621,0.489899,0,0.115569
0.0105492,0.171081,0,24.0097,14.8055,0.553122,0,0.102649
0.0259159,0.151446,0,23.595,14.5125,0.457575,0,0.0908677
0.0173442,0.264605,0,23.8359,14.7168,0.790115,0,0.158763
0.0226563,0.181066,0,23.6731,14.5722,0.507237,0,0.108639
0.021926,0.233365,0,23.6322,14.6327,1.05024,0,0.140019
0.030897,0.227781,0,23.6455,14.4367,0.709442,0,0.136669
0.0221709,0.19994,0,23.6983,14.6106,0.5176,0,0.119964
0.0173348,0.190681,0,23.8497,14.6854,0.634882,0,0.114408
0.0204061,0.208931,0,23.8554,14.6139,0.328508,0,0.125359
0.0117056,0.190383,0,23.86,14.7776,0.189083,0,0.11423
0.0162929,0.258898,0,23.8789,14.7192,0.4154,0,0.155339
0.0214422,0.218561,0,23.6728,14.6304,0.665155,0,0.131137
0.021058,0.278739,0,23.7965,14.5987,0.0453196,0,0.167244
0.0205629,0.183306,0,23.7277,14.6199,0.228955,0,0.109984
0.0159117,0.161026,0,23.7594,14.7023,0.454914,0,0.0966158
0.010231,0.1746,0,23.98,14.8044,0.201452,0,0.10476
0.0171875,0.171349,0,23.8265,14.6792,0.22446,0,0.102809
0.00939991,0.186029,0,23.9487,14.8205,0.201661,0,0.111617
0.0175125,0.172727,0,23.8188,14.6666,0.236372,0,0.103636
0.0404159,0.229331,0,23.6143,14.2848,0.382221,0,0.137599
0.014512,0.195991,0,23.7882,14.7265,0.449008,0,0.117595
0.0211951,0.251455,0,23.7477,14.6072,0.641021,0,0.150873
0.0346114,0.165199,0,23.5144,14.3479,0.40217,0,0.0991192
0.0201408,0.177616,0,23.6185,14.6251,0.524183,0,0.10657
0.0253413,0.276281,0,23.7357,14.6106,0.428595,0,0.165768
0.0146957,0.179789,0,23.8895,14.7244,0.353582,0,0.107873
0.0265625,0.236829,0,23.797,14.6043,0.622471,0,0.142098
0.0185303,0.243237,0,23.7408,14.661,0.60414,0,0.145942
0.0220168,0.223501,0,23.8756,14.5876,0.127005,0,0.1341
0.0190092,0.20998,0,23.6733,14.6364,0.0714922,0,0.125988
0.016142,0.185058,0,23.795,14.699,0.19047,0,0.111035
