vx,wabs,obstacle,align,follow,angle,fwd,twirl
0.00334257,0.315947,0,24.0947,14.9406,0.191677,0,0.189568
0.0376708,0.310626,0,23.3137,14.3034,0.645506,0,0.186376
0.0184552,0.333668,0,23.7989,14.7367,0.493764,0,0.200201
0.0647803,0.319671,0,22.4519,13.8072,0.566463,0,0.191802
0.0102406,0.315216,0,23.8442,14.82,0.52736,0,0.18913
0.0147176,0.310562,0,23.9042,14.7286,0.328096,0,0.186337
0.023391,0.317957,0,23.6513,14.6989,1.45288,0,0.190774
0.0741832,0.324587,0,22.69,13.6284,0.0813379,0,0.194752
0.0197838,0.29682,0,23.6238,14.6869,1.09697,0,0.178092
0.124905,0.314215,0,21.3261,12.9306,0.375795,0,0.188529
0.0015625,0.311617,0,24.0999,14.9848,1.33561,0,0.18697
0.150501,0.327975,0,21.6444,12.9182,1.26767,0,0.196785
0.00261445,0.340364,0,24.0723,14.9522,0.516437,0,0.204219
0.0543229,0.30058,0,23.008,14.0162,0.215985,0,0.180348
0.017581,0.32304,0,23.8331,14.7074,0.652942,0,0.193824
0.0978047,0.300979,0,23.5967,13.3612,0.334528,0,0.180588
0.0654807,0.303321,0,23.534,13.8522,0.145019,0,0.181993
0.051191,0.30377,0,23.5247,14.0335,0.243943,0,0.182262
0.0265963,0.311871,0,23.5974,14.5123,0.819794,0,0.187123
0,0.313803,0,24.1197,15,0.702619,0,0.188282
0.0159574,0.277556,0,23.7994,14.6969,0.021893,0,0.166534
0.00115501,0.312557,0,24.0916,14.9806,0.603926,0,0.187534
0.0280256,0.261643,0,23.4408,14.4647,0.0334268,0,0.156986
0.00553984,0.300899,0,23.946,14.8953,0.136742,0,0.18054
0.139026,0.29969,0,21.5801,12.8653,0.777194,0,0.179814
0.0351481,0.329166,0,23.5367,14.3655,0.552231,0,0.197499
0.106603,0.318862,0,21.8694,12.9683,0.23108,0,0.191317
0.00651176,0.342743,0,23.9949,14.8881,0.423645,0,0.205646
0.0366979,0.29013,0,23.7072,14.3083,0.563373,0,0.174078
0.0758509,0.343913,0,22.898,14.0574,1.05075,0,0.206348
0,0.299347,0,24.1197,15,0.581167,0,0.179608
0.056811,0.328094,0,23.5985,13.9869,0.242428,0,0.196856
0.0929835,0.305947,0,22.1146,13.2345,0.376724,0,0.183568
0.00078125,0.28719,0,24.1093,14.9851,0.427279,0,0.172314
0.0882059,0.32972,0,22.7794,13.3702,0.0410304,0,0.197832
0.00451784,0.328043,0,24.0415,14.9182,0.0811667,0,0.196826
0.029877,0.322849,0,23.5553,14.6182,1.45512,0,0.193709
0.0640951,0.314468,0,23.1784,13.8073,0.776599,0,0.188681
0.0457158,0.339781,0,22.9695,14.2453,0.68778,0,0.203868
0.00343716,0.346784,0,24.084,14.9462,1.21532,0,0.20807
0.00661401,0.341172,0,23.9769,14.9096,1.08425,0,0.204703
0.101733,0.322584,0,21.9633,13.6964,1.21245,0,0.19355
