vx,wabs,obstacle,align,follow,angle,fwd,twirl
0.0374674,0.298723,0,23.2173,14.2838,0.129577,0,0.179234
0.0810184,0.250329,0,23.0568,13.4519,0.0446391,0,0.150197
0.030927,0.280541,0,23.8204,14.4201,0.320813,0,0.168324
0.0193535,0.246642,0,23.719,14.6294,0.154435,0,0.147985
0.0151526,0.533429,0,23.9552,14.7529,1.01405,0,0.320057
0.0989499,0.380441,0,22.7341,13.1275,0.0583897,0,0.228265
0.0208538,0.481625,0,23.9453,14.971,1.00404,0,0.288975
0.0503709,0.344874,0,23.3224,14.0987,0.245912,0,0.206925
0.00610172,0.378705,0,23.9186,14.8876,0.767773,0,0.227223
0.03125,0.47665,0,23.804,14.4924,0.926058,0,0.28599
0.0978357,0.220235,0,22.6904,13.5893,0.858833,0,0.132141
0.03125,0.241971,0,23.1389,14.4291,0.709817,0,0.145183
0.047949,0.441678,0,23.718,14.6668,0.897065,0,0.265007
0.0653723,0.456104,0,22.881,14.1803,1.49973,0,0.273663
0.0460362,0.212836,0,23.1021,14.1288,0.112896,0,0.127702
0.0975358,0.337995,0,22.5451,13.6066,1.68075,0,0.202797
0.0276071,0.313102,0,24.0136,14.4824,0.621059,0,0.187861
0.172144,0.223306,0,20.5868,12.3117,0.893011,0,0.133983
0.135766,0.339564,0,21.5794,12.5418,0.000607967,0,0.203738
0.0646758,0.19516,0,22.9513,13.7938,0.490167,0,0.117096
0.0563464,0.148744,0,23.2385,14.0096,0.422466,0,0.0892464
0.146797,0.176483,0,21.7084,12.2396,0.230831,0,0.10589
0.0152854,0.281073,0,23.767,14.7171,0.764759,0,0.168644
0.100341,0.294291,0,23.2358,13.2357,0.470213,0,0.176574
0.0635028,0.366066,0,22.9774,13.9194,1.49049,0,0.219639
0.0974157,0.444165,0,22.2114,14.073,1.10059,0,0.266499
0.0159927,0.354411,0,23.8525,14.6987,0.182866,0,0.212647
0.151554,0.411666,0,21.506,13.5274,1.77586,0,0.246999
0.03125,0.265151,0,23.4076,14.4991,1.04808,0,0.159091
0.0319255,0.250847,0,23.9367,14.4588,0.15413,0,0.150508
