t,x,y,yaw,cmd_vx,cmd_wz,scan_min,map_x,map_y
1.6318,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8292,nan,nan
1.6475,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8292,nan,nan
1.6488,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8292,nan,nan
1.6623,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8292,nan,nan
1.6693,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8292,nan,nan
1.6792,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8256,nan,nan
1.6886,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8256,nan,nan
1.7062,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8256,nan,nan
1.7110,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8256,nan,nan
1.7202,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8256,nan,nan
1.7305,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8256,nan,nan
1.7386,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8256,nan,nan
1.7489,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8256,nan,nan
1.7587,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8256,nan,nan
1.7695,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8256,nan,nan
1.7791,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8256,nan,nan
1.7905,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8310,nan,nan
1.7985,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8310,nan,nan
1.8088,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8310,nan,nan
1.8193,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8310,nan,nan
1.8296,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8310,nan,nan
1.8387,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8310,nan,nan
1.8486,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8310,nan,nan
1.8590,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8310,nan,nan
1.8690,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8310,nan,nan
1.8792,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8310,nan,nan
1.8899,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8317,nan,nan
1.9018,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8317,nan,nan
1.9093,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8317,nan,nan
1.9187,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8317,nan,nan
1.9291,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8317,nan,nan
1.9402,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8317,nan,nan
1.9506,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8317,nan,nan
1.9596,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8317,nan,nan
1.9723,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8317,nan,nan
1.9798,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8317,nan,nan
1.9892,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8290,nan,nan
2.0018,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8290,nan,nan
2.0098,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8290,nan,nan
2.0194,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8290,nan,nan
2.0296,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8290,nan,nan
2.0391,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8290,nan,nan
2.0496,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8290,nan,nan
2.0613,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8290,nan,nan
2.0692,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8290,nan,nan
2.0797,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8290,nan,nan
2.0904,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8270,nan,nan
2.0995,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8270,nan,nan
2.1092,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8270,nan,nan
2.1199,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8270,nan,nan
2.1290,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8270,nan,nan
2.1392,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8270,nan,nan
2.1491,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8270,nan,nan
2.1596,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8270,nan,nan
2.1691,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8270,nan,nan
2.1801,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8270,nan,nan
2.1893,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8260,nan,nan
2.1993,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8260,nan,nan
2.2093,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8260,nan,nan
2.2201,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8260,nan,nan
2.2296,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8260,nan,nan
2.2395,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8260,nan,nan
2.2490,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8260,nan,nan
2.2600,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8260,nan,nan
2.2694,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8260,nan,nan
2.2793,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8223,nan,nan
2.2921,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8223,nan,nan
2.2987,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8223,nan,nan
2.3093,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8223,nan,nan
2.3189,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8223,nan,nan
2.3293,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8223,nan,nan
2.3389,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8223,nan,nan
2.3496,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8223,nan,nan
2.3591,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8223,nan,nan
2.3693,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8223,nan,nan
2.3827,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8276,nan,nan
2.3910,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8276,nan,nan
2.3989,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8276,nan,nan
2.4093,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8276,nan,nan
2.4191,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8276,nan,nan
2.4294,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8276,nan,nan
2.4392,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8276,nan,nan
2.4497,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8276,nan,nan
2.4596,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8276,nan,nan
2.4693,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8276,nan,nan
2.4794,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8282,nan,nan
2.4920,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8282,nan,nan
2.5030,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8282,nan,nan
2.5090,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8282,nan,nan
2.5200,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8282,nan,nan
2.5288,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8282,nan,nan
2.5391,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8282,nan,nan
2.5494,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8282,nan,nan
