world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,rms_dv,vmax,note
blocked,11,comppi,True,False,20.96,0.241,7.53,0.269,0.0092,0.4,RESULT: SUCCESS (status=4)
blocked,11,comppi_iid,False,False,9.96,7.304,0.3,1.1,0.0029,0.034,RESULT: FAILURE (status=6)
blocked,11,comppi_colored,True,False,20.66,0.242,7.56,0.255,0.0112,0.4,RESULT: SUCCESS (status=4)
blocked,12,comppi,True,False,20.76,0.245,7.48,0.292,0.0099,0.4,RESULT: SUCCESS (status=4)
blocked,12,comppi_iid,False,False,9.96,7.307,0.29,1.1,0.0026,0.034,RESULT: FAILURE (status=6)
blocked,12,comppi_colored,True,False,20.86,0.242,7.54,0.269,0.0097,0.4,RESULT: SUCCESS (status=4)
blocked,13,comppi,True,False,20.86,0.246,7.47,0.269,0.0094,0.4,RESULT: SUCCESS (status=4)
blocked,13,comppi_iid,False,False,9.96,7.298,0.3,1.1,0.0029,0.034,RESULT: FAILURE (status=6)
blocked,13,comppi_colored,True,False,20.96,0.242,7.52,0.255,0.0115,0.4,RESULT: SUCCESS (status=4)
blocked,14,comppi,True,False,21.76,0.248,7.55,0.269,0.0078,0.4,RESULT: SUCCESS (status=4)
blocked,14,comppi_iid,False,False,9.96,7.301,0.3,1.1,0.0028,0.035,RESULT: FAILURE (status=6)
blocked,14,comppi_colored,True,False,20.86,0.249,7.55,0.255,0.0104,0.4,RESULT: SUCCESS (status=4)
