world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,rms_dv,vmax,note
blocked,3,comppi_b4,True,False,21.36,0.237,7.51,0.269,0.0132,0.4,RESULT: SUCCESS (status=4)
blocked,3,comppi_b16,False,False,29.36,0.266,7.48,0.292,0.0083,0.4,RESULT: FAILURE (status=6)
blocked,3,comppi_b32,True,False,22.66,0.248,7.45,0.206,0.0095,0.4,RESULT: SUCCESS (status=4)
blocked,4,comppi_b2,False,False,19.16,5.361,2.28,0.25,0.0073,0.347,RESULT: FAILURE (status=6)
blocked,4,comppi_b4,True,False,21.46,0.24,7.53,0.292,0.0117,0.4,RESULT: SUCCESS (status=4)
blocked,4,comppi_b16,False,False,29.38,0.291,7.47,0.292,0.008,0.4,RESULT: FAILURE (status=6)
blocked,4,comppi_b32,True,False,22.66,0.249,7.45,0.206,0.0101,0.4,RESULT: SUCCESS (status=4)
blocked,5,comppi_b2,False,False,15.06,6.213,1.42,0.25,0.008,0.372,RESULT: FAILURE (status=6)
blocked,5,comppi_b4,True,False,21.26,0.238,7.57,0.292,0.0119,0.4,RESULT: SUCCESS (status=4)
blocked,5,comppi_b16,False,False,29.26,0.261,7.55,0.269,0.0077,0.4,RESULT: FAILURE (status=6)
blocked,5,comppi_b32,True,False,22.66,0.244,7.51,0.206,0.0091,0.4,RESULT: SUCCESS (status=4)
blocked,6,comppi_b2,False,False,22.26,4.169,3.44,0.25,0.0072,0.399,RESULT: FAILURE (status=6)
blocked,6,comppi_b4,True,False,21.46,0.236,7.52,0.269,0.0114,0.4,RESULT: SUCCESS (status=4)
blocked,6,comppi_b16,False,False,29.26,0.265,7.49,0.292,0.0082,0.4,RESULT: FAILURE (status=6)
blocked,6,comppi_b32,True,False,22.66,0.244,7.46,0.206,0.0095,0.4,RESULT: SUCCESS (status=4)
blocked,7,comppi_b2,False,False,19.46,4.664,2.96,0.25,0.0078,0.398,RESULT: FAILURE (status=6)
blocked,7,comppi_b4,True,False,21.66,0.238,7.59,0.269,0.0111,0.399,RESULT: SUCCESS (status=4)
blocked,7,comppi_b16,True,False,29.06,0.25,7.56,0.292,0.0083,0.4,RESULT: SUCCESS (status=4)
blocked,7,comppi_b32,True,False,23.16,0.245,7.5,0.206,0.0104,0.4,RESULT: SUCCESS (status=4)
blocked,8,comppi_b2,True,False,25.86,0.232,7.54,0.25,0.0147,0.4,RESULT: SUCCESS (status=4)
blocked,8,comppi_b4,True,False,21.16,0.243,7.52,0.269,0.0113,0.4,RESULT: SUCCESS (status=4)
blocked,8,comppi_b16,False,False,29.36,0.273,7.51,0.292,0.0077,0.4,RESULT: FAILURE (status=6)
blocked,8,comppi_b32,True,False,22.56,0.244,7.44,0.206,0.0097,0.4,RESULT: SUCCESS (status=4)
blocked,9,comppi_b2,False,False,26.86,3.412,4.31,0.25,0.0072,0.378,RESULT: FAILURE (status=6)
