t,x,y,yaw,v,w
3.362,1.2000,5.0000,0.0000,0.0000,0.0000
3.382,1.2000,5.0000,0.0000,0.0000,0.0000
3.402,1.2000,5.0000,0.0000,0.0000,0.0000
3.422,1.2000,5.0000,0.0000,0.0000,0.0000
3.442,1.2000,5.0000,0.0000,0.0000,0.0000
3.462,1.2000,5.0000,0.0000,0.0000,0.0000
3.482,1.2000,5.0000,0.0000,0.0000,0.0000
3.502,1.2000,5.0000,0.0000,0.0000,0.0000
3.523,1.2000,5.0000,0.0000,0.0000,0.0000
3.542,1.2000,5.0000,0.0000,0.0000,0.0000
3.563,1.2000,5.0000,0.0000,0.0000,0.0000
3.582,1.2000,5.0000,0.0000,0.0000,0.0000
3.602,1.2000,5.0000,0.0000,0.0000,0.0000
3.622,1.2000,5.0000,0.0000,0.0000,0.0000
3.643,1.2000,5.0000,0.0000,0.0000,0.0000
3.662,1.2000,5.0000,0.0000,0.0000,0.0000
3.682,1.2000,5.0000,0.0000,0.0000,0.0000
3.702,1.2000,5.0000,0.0000,0.0000,0.0000
3.722,1.2000,5.0000,0.0000,0.0000,0.0000
3.742,1.2000,5.0000,0.0000,0.0000,0.0000
3.762,1.2000,5.0000,0.0000,0.0000,0.0000
3.782,1.2000,5.0000,0.0000,0.0000,0.0000
3.802,1.2000,5.0000,0.0000,0.0000,0.0000
3.822,1.2000,5.0000,0.0000,0.0000,0.0000
3.842,1.2000,5.0000,0.0000,0.0000,0.0000
3.862,1.2000,5.0000,0.0000,0.0000,0.0000
3.882,1.2000,5.0000,0.0000,0.0000,0.0000
3.902,1.2000,5.0000,0.0000,0.0000,0.0000
3.922,1.2000,5.0000,0.0000,0.0000,0.0000
3.943,1.2000,5.0000,0.0000,0.0000,0.0000
3.962,1.2000,5.0000,0.0000,0.0000,0.0000
3.982,1.2000,5.0000,0.0000,0.0000,0.0000
4.002,1.2000,5.0000,0.0000,0.0000,0.0000
4.022,1.2000,5.0000,0.0000,0.0000,0.0000
4.042,1.2000,5.0000,0.0000,0.0000,0.0000
4.062,1.2000,5.0000,0.0000,0.0000,0.0000
4.082,1.2000,5.0000,0.0000,0.0000,0.0000
4.103,1.2000,5.0000,0.0000,0.0000,0.0000
4.122,1.2000,5.0000,0.0000,0.0000,0.0000
4.142,1.2000,5.0000,0.0000,0.0000,0.0000
4.162,1.2000,5.0000,0.0000,0.0000,0.0000
4.182,1.2000,5.0000,0.0000,0.0000,0.0000
4.202,1.2000,5.0000,0.0000,0.0000,0.0000
4.222,1.2000,5.0000,0.0000,0.0000,0.0000
4.242,1.2000,5.0000,0.0000,0.0000,0.0000
4.262,1.2000,5.0000,0.0000,0.0000,0.0000
4.282,1.2000,5.0000,0.0000,0.0000,0.0000
4.302,1.2000,5.0000,0.0000,0.0000,0.0000
4.322,1.2000,5.0000,0.0000,0.0000,0.0000
4.342,1.2000,5.0000,0.0000,0.0000,0.0000
4.362,1.2000,5.0000,0.0000,0.0000,0.0000
4.382,1.2000,5.0000,0.0000,0.0000,0.0000
4.402,1.2000,5.0000,0.0000,0.0000,0.0000
4.423,1.2000,5.0000,0.0000,0.0000,0.0000
4.442,1.2000,5.0000,0.0000,0.0000,0.0000
4.462,1.2000,5.0000,0.0000,0.0000,0.0000
4.482,1.2000,5.0000,0.0000,0.0000,0.0000
4.502,1.2000,5.0000,0.0000,0.0000,0.0000
4.522,1.2000,5.0000,0.0000,0.0000,0.0000
4.542,1.2000,5.0000,0.0000,0.0000,0.0000
4.562,1.2000,5.0000,0.0000,0.0000,0.0000
4.582,1.2000,5.0000,0.0000,0.0000,0.0000
4.602,1.2000,5.0000,0.0000,0.0000,0.0000
4.622,1.2000,5.0000,0.0000,0.0000,0.0000
4.642,1.2000,5.0000,0.0000,0.0000,0.0000
4.662,1.2000,5.0000,0.0000,0.0000,0.0000
4.682,1.2000,5.0000,0.0000,0.0000,0.0000
4.702,1.2000,5.0000,0.0000,0.0000,0.0000
4.722,1.2000,5.0000,0.0000,0.0000,0.0000
4.742,1.2000,5.0000,0.0000,0.0000,0.0000
4.763,1.2000,5.0000,0.0000,0.0000,0.0000
4.783,1.2000,5.0000,0.0000,0.0000,0.0000
4.802,1.2000,5.0000,0.0000,0.0000,0.0000
4.822,1.2000,5.0000,0.0000,0.0000,0.0000
4.843,1.2000,5.0000,0.0000,0.0000,0.0000
4.862,1.2000,5.0000,0.0000,0.0000,0.0000
4.883,1.2000,5.0000,0.0000,0.0000,0.0000
4.902,1.2000,5.0000,0.0000,0.0000,0.0000
4.922,1.2000,5.0000,0.0000,0.0000,0.0000
4.942,1.2000,5.0000,0.0000,0.0000,0.0000
4.962,1.2000,5.0000,0.0000,0.0000,0.0000
4.982,1.2000,5.0000,0.0000,0.0000,0.0000
5.002,1.2000,5.0000,0.0000,0.0000,0.0000
5.022,1.2000,5.0000,0.0000,0.0000,0.0000
5.042,1.2000,5.0000,0.0000,0.0000,0.0000
5.062,1.2000,5.0000,0.0000,0.0000,0.0000
5.082,1.2000,5.0000,0.0000,0.0000,0.0000
5.102,1.2000,5.0000,0.0000,0.0000,0.0000
5.123,1.2000,5.0000,0.0000,0.0000,0.0000
5.142,1.2000,5.0000,0.0000,0.0000,0.0000
5.162,1.2000,5.0000,0.0000,0.0000,0.0000
5.182,1.2000,5.0000,0.0000,0.0000,0.0000
5.202,1.2000,5.0000,0.0000,0.0000,0.0000
5.222,1.2000,5.0000,0.0000,0.0000,0.0000
5.242,1.2000,5.0000,0.0000,0.0000,0.0000
5.263,1.2000,5.0000,0.0000,0.0000,0.0000
5.282,1.2000,5.0000,0.0000,0.0000,0.0000
5.303,1.2000,5.0000,0.0000,0.0000,0.0000
5.322,1.2000,5.0000,0.0000,0.0000,0.0000
5.342,1.2000,5.0000,0.0000,0.0000,0.0000
5.362,1.2000,5.0000,0.0000,0.0000,0.0000
5.382,1.2000,5.0000,0.0000,0.0000,0.0000
5.402,1.2000,5.0000,0.0000,0.0000,0.0000
5.422,1.2000,5.0000,0.0000,0.0000,0.0000
5.442,1.2000,5.0000,0.0000,0.0000,0.0000
5.462,1.2000,5.0000,0.0000,0.0000,0.0000
5.482,1.2000,5.0000,0.0000,0.0000,0.0000
5.502,1.2000,5.0000,0.0000,0.0000,0.0000
5.523,1.2000,5.0000,0.0000,0.0000,0.0000
5.542,1.2000,5.0000,0.0000,0.0000,0.0000
5.562,1.2000,5.0000,0.0000,0.0000,0.0000
5.582,1.2000,5.0000,0.0000,0.0000,0.0000
5.602,1.2000,5.0000,0.0000,0.0000,0.0000
5.622,1.2000,5.0000,0.0000,0.0000,0.0000
5.642,1.2000,5.0000,0.0000,0.0000,0.0000
5.663,1.2000,5.0000,0.0000,0.0000,0.0000
5.683,1.2000,5.0000,0.0000,0.0000,0.0000
5.702,1.2000,5.0000,0.0000,0.0000,0.0000
5.722,1.2000,5.0000,0.0000,0.0000,0.0000
5.742,1.2000,5.0000,0.0000,0.0000,0.0000
5.762,1.2000,5.0000,0.0000,0.0000,0.0000
5.782,1.2000,5.0000,0.0000,0.0000,0.0000
5.802,1.2000,5.0000,0.0000,0.0000,0.0000
5.822,1.2000,5.0000,0.0000,0.0000,0.0000
5.842,1.2000,5.0000,0.0000,0.0000,0.0000
5.863,1.2000,5.0000,0.0000,0.0000,0.0000
5.883,1.2000,5.0000,0.0000,0.0000,0.0000
5.903,1.2000,5.0000,0.0000,0.0000,0.0000
5.922,1.2000,5.0000,0.0000,0.0000,0.0000
5.943,1.2000,5.0000,0.0000,0.0000,0.0000
5.962,1.2000,5.0000,0.0000,0.0000,0.0000
5.982,1.2000,5.0000,0.0000,0.0000,0.0000
6.002,1.2000,5.0000,0.0000,0.0000,0.0000
6.022,1.2000,5.0000,0.0000,0.0000,0.0000
6.042,1.2000,5.0000,0.0000,0.0000,0.0000
6.063,1.2000,5.0000,0.0000,0.0000,0.0000
6.082,1.2000,5.0000,0.0000,0.0000,0.0000
6.102,1.2000,5.0000,0.0000,0.0000,0.0000
6.123,1.2000,5.0000,0.0000,0.0000,0.0000
6.142,1.2000,5.0000,0.0000,0.0000,0.0000
6.162,1.2000,5.0000,0.0000,0.0000,0.0000
6.182,1.2000,5.0000,0.0000,0.0000,0.0000
6.203,1.2000,5.0000,0.0000,0.0000,0.0000
6.222,1.2000,5.0000,0.0000,0.0000,0.0000
6.242,1.2000,5.0000,0.0000,0.0000,0.0000
6.262,1.2000,5.0000,0.0000,0.0000,0.0000
6.282,1.2000,5.0000,0.0000,0.0000,0.0000
6.302,1.2000,5.0000,0.0000,0.0000,0.0000
6.322,1.2000,5.0000,0.0000,0.0000,0.0000
6.342,1.2000,5.0000,0.0000,0.0000,0.0000
6.363,1.2000,5.0000,0.0000,0.0000,0.0000
6.382,1.2000,5.0000,0.0000,0.0000,0.0000
6.403,1.2000,5.0000,0.0000,0.0000,0.0000
6.422,1.2000,5.0000,0.0000,0.0000,0.0000
6.442,1.2000,5.0000,0.0000,0.0000,0.0000
6.462,1.2000,5.0000,0.0000,0.0000,0.0000
6.483,1.2000,5.0000,0.0000,0.0000,0.0000
6.502,1.2000,5.0000,0.0000,0.0000,0.0000
6.522,1.2000,5.0000,0.0000,0.0000,0.0000
6.542,1.2000,5.0000,0.0000,0.0000,0.0000
6.562,1.2000,5.0000,0.0000,0.0000,0.0000
6.582,1.2000,5.0000,0.0000,0.0000,0.0000
6.602,1.2000,5.0000,0.0000,0.0000,0.0000
6.622,1.2000,5.0000,0.0000,0.0000,0.0000
6.642,1.2000,5.0000,0.0000,0.0000,0.0000
6.662,1.2000,5.0000,0.0000,0.0000,0.0000
6.682,1.2000,5.0000,0.0000,0.0000,0.0000
