world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
gap,1,comppi_iid_ess05,False,False,9.96,7.155,0.47,1.1,,,0.0047,0.061,RESULT: FAILURE (status=6)
gap,1,comppi_iid_ess10,False,False,9.96,7.219,0.4,1.1,,,0.0046,0.05,RESULT: FAILURE (status=6)
gap,1,comppi_iid_ess20,False,False,9.96,7.264,0.35,1.1,,,0.0033,0.043,RESULT: FAILURE (status=6)
gap,1,comppi_iid_cnorm,False,False,29.66,4.083,3.88,0.206,,,0.0117,0.331,RESULT: FAILURE (status=6)
gap,2,comppi_iid_ess05,False,False,9.96,7.18,0.45,1.1,,,0.0049,0.068,RESULT: FAILURE (status=6)
gap,2,comppi_iid_ess10,False,False,9.96,7.205,0.42,1.1,,,0.0043,0.053,RESULT: FAILURE (status=6)
gap,2,comppi_iid_ess20,False,False,9.96,7.261,0.36,1.1,,,0.0036,0.046,RESULT: FAILURE (status=6)
gap,2,comppi_iid_cnorm,False,False,26.26,4.238,3.82,0.206,,,0.013,0.369,RESULT: FAILURE (status=6)
gap,3,comppi_iid_ess05,False,False,9.96,7.212,0.43,1.1,,,0.0048,0.055,RESULT: FAILURE (status=6)
gap,3,comppi_iid_ess10,False,False,9.98,7.231,0.41,1.1,,,0.0039,0.049,RESULT: FAILURE (status=6)
gap,3,comppi_iid_ess20,False,False,9.96,7.281,0.35,1.1,,,0.0033,0.041,RESULT: FAILURE (status=6)
gap,3,comppi_iid_cnorm,False,False,24.16,4.29,3.87,0.2,,,0.0111,0.358,RESULT: FAILURE (status=6)
gap,4,comppi_iid_ess05,False,False,9.96,7.121,0.48,1.1,,,0.0054,0.067,RESULT: FAILURE (status=6)
gap,4,comppi_iid_ess10,False,False,9.96,7.218,0.39,1.1,,,0.0034,0.046,RESULT: FAILURE (status=6)
gap,4,comppi_iid_ess20,False,False,9.96,7.246,0.36,1.1,,,0.0036,0.044,RESULT: FAILURE (status=6)
gap,4,comppi_iid_cnorm,False,False,28.06,3.832,3.84,0.25,,,0.0121,0.338,RESULT: FAILURE (status=6)
gap,5,comppi_iid_ess05,False,False,9.96,7.235,0.43,1.1,,,0.0056,0.064,RESULT: FAILURE (status=6)
gap,5,comppi_iid_ess10,False,False,9.96,7.264,0.4,1.1,,,0.0039,0.05,RESULT: FAILURE (status=6)
gap,5,comppi_iid_ess20,False,False,9.96,7.298,0.36,1.1,,,0.0031,0.045,RESULT: FAILURE (status=6)
gap,5,comppi_iid_cnorm,False,False,24.76,4.529,4.07,0.2,,,0.0143,0.382,RESULT: FAILURE (status=6)
gap,6,comppi_iid_ess05,False,False,9.96,7.139,0.48,1.1,,,0.0051,0.065,RESULT: FAILURE (status=6)
gap,6,comppi_iid_ess10,False,False,9.96,7.22,0.4,1.1,,,0.0042,0.053,RESULT: FAILURE (status=6)
gap,6,comppi_iid_ess20,False,False,9.96,7.252,0.36,1.1,,,0.0034,0.045,RESULT: FAILURE (status=6)
gap,6,comppi_iid_cnorm,False,False,29.16,4.045,3.87,0.206,,,0.0114,0.359,RESULT: FAILURE (status=6)
gap,7,comppi_iid_ess05,False,False,9.96,7.163,0.44,1.1,,,0.0056,0.06,RESULT: FAILURE (status=6)
gap,7,comppi_iid_ess10,False,False,9.96,7.178,0.42,1.1,,,0.0047,0.056,RESULT: FAILURE (status=6)
gap,7,comppi_iid_ess20,False,False,9.96,7.247,0.36,1.1,,,0.0032,0.044,RESULT: FAILURE (status=6)
gap,7,comppi_iid_cnorm,False,False,28.56,3.762,3.88,0.25,,,0.0118,0.369,RESULT: FAILURE (status=6)
gap,8,comppi_iid_ess05,False,False,9.96,7.203,0.45,1.1,,,0.0055,0.061,RESULT: FAILURE (status=6)
gap,8,comppi_iid_ess10,False,False,9.96,7.234,0.41,1.1,,,0.0046,0.053,RESULT: FAILURE (status=6)
gap,8,comppi_iid_ess20,False,False,9.96,7.29,0.35,1.1,,,0.0031,0.045,RESULT: FAILURE (status=6)
gap,8,comppi_iid_cnorm,False,False,23.96,4.406,3.97,0.206,,,0.0106,0.387,RESULT: FAILURE (status=6)
gap,9,comppi_iid_ess05,False,False,9.96,7.157,0.47,1.1,,,0.005,0.069,RESULT: FAILURE (status=6)
gap,9,comppi_iid_ess10,False,False,9.96,7.227,0.4,1.1,,,0.0036,0.053,RESULT: FAILURE (status=6)
gap,9,comppi_iid_ess20,False,False,9.96,7.263,0.36,1.1,,,0.0031,0.043,RESULT: FAILURE (status=6)
gap,9,comppi_iid_cnorm,False,False,25.16,4.236,3.78,0.224,,,0.0119,0.369,RESULT: FAILURE (status=6)
gap,10,comppi_iid_ess05,False,False,9.96,7.13,0.47,1.1,,,0.0051,0.069,RESULT: FAILURE (status=6)
gap,10,comppi_iid_ess10,False,False,9.96,7.211,0.39,1.1,,,0.0048,0.054,RESULT: FAILURE (status=6)
gap,10,comppi_iid_ess20,False,False,9.96,7.237,0.36,1.1,,,0.0035,0.043,RESULT: FAILURE (status=6)
gap,10,comppi_iid_cnorm,True,False,25.76,0.244,7.37,0.45,,,0.0158,0.391,RESULT: SUCCESS (status=4)
gap,11,comppi_iid_ess05,False,False,9.96,7.231,0.44,1.1,,,0.0053,0.066,RESULT: FAILURE (status=6)
gap,11,comppi_iid_ess10,False,False,9.96,7.267,0.39,1.1,,,0.0044,0.053,RESULT: FAILURE (status=6)
gap,11,comppi_iid_ess20,False,False,9.96,7.294,0.36,1.1,,,0.0032,0.043,RESULT: FAILURE (status=6)
gap,11,comppi_iid_cnorm,False,False,24.56,4.544,4.06,0.206,,,0.0109,0.373,RESULT: FAILURE (status=6)
gap,12,comppi_iid_ess05,False,False,9.96,7.119,0.48,1.1,,,0.0052,0.084,RESULT: FAILURE (status=6)
gap,12,comppi_iid_ess10,False,False,9.96,7.215,0.39,1.1,,,0.0042,0.049,RESULT: FAILURE (status=6)
gap,12,comppi_iid_ess20,False,False,9.96,7.225,0.38,1.1,,,0.0034,0.044,RESULT: FAILURE (status=6)
gap,12,comppi_iid_cnorm,True,False,28.08,0.238,7.38,0.3,,,0.0182,0.364,RESULT: SUCCESS (status=4)
gap,13,comppi_iid_ess05,False,False,9.96,7.194,0.48,1.1,,,0.0054,0.067,RESULT: FAILURE (status=6)
gap,13,comppi_iid_ess10,False,False,9.96,7.26,0.4,1.1,,,0.0045,0.053,RESULT: FAILURE (status=6)
gap,13,comppi_iid_ess20,False,False,9.96,7.299,0.36,1.1,,,0.0033,0.044,RESULT: FAILURE (status=6)
gap,13,comppi_iid_cnorm,False,False,26.46,4.584,3.98,0.3,,,0.0123,0.336,RESULT: FAILURE (status=6)
gap,14,comppi_iid_ess05,False,False,9.96,7.108,0.49,1.1,,,0.006,0.071,RESULT: FAILURE (status=6)
gap,14,comppi_iid_ess10,False,False,9.96,7.193,0.41,1.1,,,0.0039,0.052,RESULT: FAILURE (status=6)
gap,14,comppi_iid_ess20,False,False,9.96,7.246,0.35,1.1,,,0.0034,0.042,RESULT: FAILURE (status=6)
gap,14,comppi_iid_cnorm,True,False,26.36,0.239,7.37,0.492,,,0.0173,0.38,RESULT: SUCCESS (status=4)
blocked,0,comppi_iid_ess05,False,False,9.96,7.18,0.42,1.1,,,0.005,0.065,RESULT: FAILURE (status=6)
blocked,0,comppi_iid_ess10,False,False,9.96,7.219,0.38,1.1,,,0.004,0.05,RESULT: FAILURE (status=6)
blocked,0,comppi_iid_ess20,False,False,9.96,7.231,0.37,1.1,,,0.0035,0.045,RESULT: FAILURE (status=6)
blocked,0,comppi_iid_cnorm,False,False,28.86,3.419,4.38,0.2,,,0.0151,0.4,RESULT: FAILURE (status=6)
blocked,1,comppi_iid_ess05,False,False,9.96,7.17,0.43,1.1,,,0.0049,0.058,RESULT: FAILURE (status=6)
blocked,1,comppi_iid_ess10,False,False,9.96,7.219,0.38,1.1,,,0.0039,0.049,RESULT: FAILURE (status=6)
blocked,1,comppi_iid_ess20,False,False,9.96,7.237,0.36,1.1,,,0.0035,0.044,RESULT: FAILURE (status=6)
blocked,1,comppi_iid_cnorm,False,False,19.36,5.783,1.87,0.2,,,0.0123,0.4,RESULT: FAILURE (status=6)
blocked,2,comppi_iid_ess05,False,False,9.96,7.168,0.43,1.1,,,0.0049,0.06,RESULT: FAILURE (status=6)
blocked,2,comppi_iid_ess10,False,False,9.96,7.193,0.41,1.1,,,0.004,0.052,RESULT: FAILURE (status=6)
blocked,2,comppi_iid_ess20,False,False,9.96,7.243,0.36,1.1,,,0.0031,0.042,RESULT: FAILURE (status=6)
blocked,2,comppi_iid_cnorm,False,False,25.36,3.104,4.58,0.2,,,0.0152,0.374,RESULT: FAILURE (status=6)
blocked,3,comppi_iid_ess05,False,False,9.96,7.104,0.5,1.1,,,0.0049,0.065,RESULT: FAILURE (status=6)
blocked,3,comppi_iid_ess10,False,False,9.96,7.189,0.41,1.1,,,0.0038,0.052,RESULT: FAILURE (status=6)
blocked,3,comppi_iid_ess20,False,False,9.96,7.247,0.35,1.1,,,0.0032,0.043,RESULT: FAILURE (status=6)
blocked,3,comppi_iid_cnorm,False,False,34.66,2.971,4.89,0.2,,,0.0134,0.392,RESULT: FAILURE (status=6)
blocked,4,comppi_iid_ess05,False,False,9.96,7.16,0.44,1.1,,,0.0048,0.06,RESULT: FAILURE (status=6)
blocked,4,comppi_iid_ess10,False,False,9.96,7.215,0.39,1.1,,,0.004,0.049,RESULT: FAILURE (status=6)
blocked,4,comppi_iid_ess20,False,False,9.96,7.237,0.36,1.1,,,0.0031,0.047,RESULT: FAILURE (status=6)
blocked,4,comppi_iid_cnorm,False,False,19.86,4.561,3.1,0.255,,,0.0134,0.391,RESULT: FAILURE (status=6)
blocked,5,comppi_iid_ess05,False,False,9.96,7.136,0.46,1.1,,,0.0054,0.068,RESULT: FAILURE (status=6)
