world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
clutter,11,mppi_t01,True,False,19.18,0.237,7.41,0.3,,,0.0172,0.409,RESULT: SUCCESS (status=4)
clutter,12,mppi_align001,True,False,19.26,0.243,7.4,0.3,,,0.0149,0.403,RESULT: SUCCESS (status=4)
clutter,12,mppi_align001_t01,True,False,19.06,0.242,7.4,0.3,,,0.0169,0.409,RESULT: SUCCESS (status=4)
clutter,12,mppi_t01,True,False,19.06,0.242,7.4,0.3,,,0.0183,0.409,RESULT: SUCCESS (status=4)
clutter,13,mppi_align001,True,False,19.46,0.247,7.48,0.3,,,0.015,0.404,RESULT: SUCCESS (status=4)
clutter,13,mppi_align001_t01,True,False,19.38,0.241,7.48,0.292,,,0.0174,0.41,RESULT: SUCCESS (status=4)
clutter,13,mppi_t01,True,False,19.36,0.243,7.48,0.292,,,0.0189,0.41,RESULT: SUCCESS (status=4)
clutter,14,mppi_align001,True,False,19.56,0.243,7.45,0.269,,,0.0142,0.404,RESULT: SUCCESS (status=4)
clutter,14,mppi_align001_t01,True,False,19.26,0.243,7.45,0.269,,,0.0167,0.409,RESULT: SUCCESS (status=4)
clutter,14,mppi_t01,True,False,19.26,0.243,7.45,0.269,,,0.0167,0.407,RESULT: SUCCESS (status=4)
gap,0,mppi_align001,True,False,19.96,0.231,7.65,0.269,,,0.0145,0.403,RESULT: SUCCESS (status=4)
gap,0,mppi_align001_t01,True,False,19.76,0.239,7.64,0.269,,,0.0186,0.409,RESULT: SUCCESS (status=4)
gap,0,mppi_t01,True,False,19.76,0.239,7.64,0.269,,,0.0173,0.409,RESULT: SUCCESS (status=4)
gap,1,mppi_align001,True,False,20.16,0.245,7.72,0.269,,,0.0148,0.403,RESULT: SUCCESS (status=4)
gap,1,mppi_align001_t01,True,False,19.96,0.245,7.72,0.269,,,0.0174,0.411,RESULT: SUCCESS (status=4)
gap,1,mppi_t01,True,False,19.98,0.246,7.72,0.269,,,0.0174,0.409,RESULT: SUCCESS (status=4)
gap,2,mppi_align001,True,False,20.46,0.249,7.81,0.255,,,0.0149,0.403,RESULT: SUCCESS (status=4)
gap,2,mppi_align001_t01,True,False,20.28,0.235,7.82,0.269,,,0.017,0.409,RESULT: SUCCESS (status=4)
gap,2,mppi_t01,True,False,20.26,0.232,7.82,0.269,,,0.017,0.409,RESULT: SUCCESS (status=4)
gap,3,mppi_align001,True,False,21.06,0.241,8.04,0.255,,,0.0145,0.403,RESULT: SUCCESS (status=4)
gap,3,mppi_align001_t01,True,False,20.86,0.237,8.04,0.269,,,0.0172,0.41,RESULT: SUCCESS (status=4)
gap,3,mppi_t01,True,False,20.86,0.237,8.04,0.269,,,0.0172,0.41,RESULT: SUCCESS (status=4)
gap,4,mppi_align001,True,False,19.36,0.243,7.43,0.3,,,0.015,0.403,RESULT: SUCCESS (status=4)
gap,4,mppi_align001_t01,True,False,19.16,0.244,7.43,0.3,,,0.0185,0.409,RESULT: SUCCESS (status=4)
gap,4,mppi_t01,True,False,19.18,0.241,7.43,0.3,,,0.0171,0.409,RESULT: SUCCESS (status=4)
gap,5,mppi_align001,True,False,22.76,0.236,8.6,0.255,,,0.0141,0.403,RESULT: SUCCESS (status=4)
gap,5,mppi_align001_t01,True,False,22.46,0.237,8.58,0.25,,,0.0177,0.409,RESULT: SUCCESS (status=4)
gap,5,mppi_t01,True,False,22.38,0.247,8.59,0.255,,,0.017,0.412,RESULT: SUCCESS (status=4)
gap,6,mppi_align001,True,False,19.96,0.249,7.65,0.269,,,0.0149,0.403,RESULT: SUCCESS (status=4)
gap,6,mppi_align001_t01,True,False,19.86,0.233,7.67,0.269,,,0.0169,0.409,RESULT: SUCCESS (status=4)
gap,6,mppi_t01,True,False,19.86,0.232,7.67,0.269,,,0.017,0.409,RESULT: SUCCESS (status=4)
gap,7,mppi_align001,True,False,19.26,0.245,7.39,0.3,,,0.0161,0.403,RESULT: SUCCESS (status=4)
gap,7,mppi_align001_t01,True,False,19.06,0.244,7.39,0.3,,,0.0173,0.409,RESULT: SUCCESS (status=4)
gap,7,mppi_t01,True,False,19.06,0.244,7.39,0.3,,,0.0186,0.409,RESULT: SUCCESS (status=4)
gap,8,mppi_align001,True,False,21.86,0.241,8.3,0.255,,,0.0145,0.403,RESULT: SUCCESS (status=4)
gap,8,mppi_align001_t01,True,False,21.56,0.236,8.3,0.255,,,0.0172,0.409,RESULT: SUCCESS (status=4)
gap,8,mppi_t01,True,False,21.56,0.236,8.3,0.255,,,0.0172,0.409,RESULT: SUCCESS (status=4)
gap,9,mppi_align001,True,False,20.66,0.248,7.84,0.269,,,0.016,0.403,RESULT: SUCCESS (status=4)
gap,9,mppi_align001_t01,True,False,20.36,0.249,7.83,0.25,,,0.0177,0.409,RESULT: SUCCESS (status=4)
gap,9,mppi_t01,True,False,20.36,0.249,7.83,0.25,,,0.0177,0.409,RESULT: SUCCESS (status=4)
gap,10,mppi_align001,True,False,19.16,0.246,7.35,0.5,,,0.015,0.403,RESULT: SUCCESS (status=4)
gap,10,mppi_align001_t01,True,False,18.96,0.245,7.36,0.5,,,0.0174,0.409,RESULT: SUCCESS (status=4)
gap,10,mppi_t01,True,False,18.96,0.245,7.36,0.5,,,0.0174,0.409,RESULT: SUCCESS (status=4)
gap,11,mppi_align001,True,False,22.76,0.236,8.6,0.255,,,0.0141,0.403,RESULT: SUCCESS (status=4)
gap,11,mppi_align001_t01,True,False,22.48,0.234,8.59,0.255,,,0.0167,0.409,RESULT: SUCCESS (status=4)
gap,11,mppi_t01,True,False,22.46,0.236,8.59,0.25,,,0.0183,0.409,RESULT: SUCCESS (status=4)
gap,12,mppi_align001,True,False,19.16,0.245,7.36,0.35,,,0.015,0.403,RESULT: SUCCESS (status=4)
gap,12,mppi_align001_t01,True,False,18.96,0.245,7.36,0.35,,,0.0173,0.409,RESULT: SUCCESS (status=4)
gap,12,mppi_t01,True,False,18.96,0.245,7.36,0.35,,,0.0173,0.409,RESULT: SUCCESS (status=4)
gap,13,mppi_align001,True,False,22.76,0.236,8.6,0.255,,,0.0142,0.403,RESULT: SUCCESS (status=4)
gap,13,mppi_align001_t01,True,False,22.46,0.237,8.58,0.25,,,0.019,0.409,RESULT: SUCCESS (status=4)
gap,13,mppi_t01,True,False,22.46,0.237,8.58,0.25,,,0.019,0.409,RESULT: SUCCESS (status=4)
gap,14,mppi_align001,True,False,19.16,0.246,7.35,0.5,,,0.0161,0.403,RESULT: SUCCESS (status=4)
gap,14,mppi_align001_t01,True,False,18.96,0.245,7.36,0.45,,,0.0174,0.409,RESULT: SUCCESS (status=4)
gap,14,mppi_t01,True,False,18.96,0.245,7.36,0.45,,,0.0173,0.409,RESULT: SUCCESS (status=4)
